T,22,S,5,C,45297792,R,490123456,P,5
T,22,S,5,C,2102185855,R,-490123456,P,-5
T,2,S,1,C,0,R,1073741824,P,1
T,2,S,1,C,2147483647,R,-1073741824,P,-1
T,100,S,31,C,94673512,R,1980066666,P,31
T,100,S,31,C,2052810135,R,-1980066666,P,-31
T,19512,S,6341,C,1855618940,R,2093842477,P,6341
T,19512,S,6341,C,291864707,R,-2093842477,P,-6341
T,19512,S,4761,C,1311430011,R,1603719021,P,1889
T,19512,S,4761,C,836053636,R,-1603719021,P,-1889
T,30000,S,7542,C,458869335,R,2099882501,P,3144
T,30000,S,7542,C,1688614312,R,-2099882501,P,-3144
T,35000,S,14171,C,1335592123,R,1872246545,P,-7037
T,35000,S,14171,C,811891524,R,-1872246545,P,7037
T,35000,S,14171,C,1235592124,R,1872246545,P,-7037
T,35000,S,14172,C,711891524,R,-1872246545,P,7038
T,20,S,5,C,138792703,R,490123456,P,5
T,20,S,5,C,2008690943,R,-490123456,P,-5
T,85,S,29,C,1142286978,R,1474952488,P,29
T,85,S,29,C,1005196669,R,-1474952488,P,-29
T,83,S,29,C,257219053,R,1440245682,P,29
T,83,S,28,C,978773657,R,1423065814,P,28
T,22,S,5,C,222764444,R,513240122,P,5
T,22,S,4,C,132168859,R,-467006790,P,-4
T,22,S,4,C,2015314788,R,467006790,P,4
T,22,S,5,C,1924719203,R,-513240122,P,-5
T,69,S,44,C,700483895,R,1428293187,P,44
T,69,S,44,C,1446999752,R,-1428293187,P,-44
T,30,S,10,C,1184194885,R,1485425389,P,10
T,30,S,10,C,963288762,R,-1485425389,P,-10
T,30,S,10,C,1184644865,R,1485468905,P,10
T,30,S,10,C,963738742,R,-1485381873,P,-10
T,20,S,3,C,1567690391,R,-684668819,P,-3
T,20,S,3,C,1567689991,R,-684668839,P,-3
T,20,S,3,C,579793256,R,684668819,P,3
T,20,S,3,C,2002450944,R,-666600000,P,-3
T,20,S,3,C,145032703,R,666600000,P,3
T,20,S,4,C,1054967296,R,-1347600000,P,-2
T,20,S,4,C,1092516351,R,1347600000,P,2
T,3338,S,111,C,2106467160,R,-213351133,P,-111
T,3338,S,111,C,41016487,R,213351133,P,111
T,2623,S,242,C,863356844,R,593428083,P,242
T,2623,S,242,C,1284126803,R,-593428083,P,-242
T,3000,S,628,C,30569056,R,1348650300,P,628
T,3000,S,628,C,2116914591,R,-1348650300,P,-628
T,3000,S,628,C,30569056,R,1348650300,P,628
T,3000,S,628,C,2116914591,R,-1348650300,P,-628
T,1000,S,232,C,863689983,R,-999000000,P,-232
T,1000,S,232,C,1283793664,R,999000000,P,232
T,1000,S,232,C,1697022483,R,-996502500,P,-232
T,1000,S,232,C,450461164,R,996502500,P,232
